日期,平台,城区,小区,服务类型,服务等级,计价方式,单价(元),总价(元),促销价(元),淡旺季
2025/11/24,美团家政,青秀,莱茵湖畔,日常保洁,新手,3小时,45.1,135,,平日
2025/2/14,天鹅到家,良庆,天誉花园,日常保洁,新手,4小时,48.5,194,167,旺季
2025/10/7,58到家,青秀,中房翡翠园,日常保洁,金牌,3小时,61,183,,旺季
2025/3/21,美团家政,武鸣,金茂新城,日常保洁,熟练,3小时,71.1,213,,旺季
2026/2/18,美团家政,西乡塘,大唐天城,日常保洁,金牌,3小时,57.2,172,,旺季
2025/11/13,58到家,江南,盛天领域,日常保洁,新手,3小时,38.5,116,,平日
2026/3/20,美团家政,良庆,港保苑,深度清洁,熟练,3小时,90.4,271,,旺季
2025/12/26,天鹅到家,西乡塘,昌泰清华园,深度清洁,熟练,3小时,77.3,232,,旺季
2026/5/22,天鹅到家,西乡塘,龙光水悦龙湾,开荒保洁,金牌,60㎡,6.4,384,309,平日
2025/5/18,美团家政,青秀,中房翡翠园,家电清洗-柜机空调,新手,2台-柜机空调,101.6,203,,平日
2025/8/23,美团家政,良庆,万科魅力之城,开荒保洁,熟练,130㎡,6.6,858,,旺季
2025/4/23,美团家政,江南,盛天领域,开荒保洁,金牌,80㎡,8,640,,旺季
2025/8/5,天鹅到家,青秀,龙光君御华府,深度清洁,熟练,3小时,92.2,277,,旺季
2025/1/6,天鹅到家,西乡塘,大唐天城,开荒保洁,熟练,120㎡,7.1,852,,旺季
2025/8/21,美团家政,武鸣,万隆国际,家电清洗-热水器,熟练,1台-热水器,164.7,165,142,旺季
2025/11/8,美团家政,青秀,山水方园,日常保洁,金牌,4小时,59.3,237,,平日
2025/9/8,美团家政,青秀,万达公馆,家电清洗-油烟机,金牌,1台-油烟机,161.6,162,,平日
2026/4/30,美团家政,青秀,凤岭春天,开荒保洁,金牌,80㎡,8.7,696,,旺季
2025/10/9,美团家政,良庆,南宁恒大名都,深度清洁,新手,4小时,68.5,274,,旺季
2026/1/1,58到家,良庆,融创九棠府,深度清洁,熟练,4小时,94.3,377,287,旺季
2025/1/11,天鹅到家,江南,昌泰鑫金绿洲,日常保洁,新手,5小时,51.9,260,196,旺季
2025/6/19,美团家政,江南,汇东星城,开荒保洁,新手,80㎡,4.3,344,,平日
2025/10/23,58到家,青秀,凤岭春天,开荒保洁,新手,80㎡,5.1,408,,旺季
2025/7/30,58到家,邕宁,阳光城丽景湾,开荒保洁,金牌,80㎡,6.9,552,,旺季
2026/2/14,美团家政,青秀,盛天茗城,深度清洁,新手,3小时,71.4,214,194,旺季
2025/8/15,天鹅到家,青秀,塞纳维拉花园,家电清洗-挂机空调,金牌,1台-挂机空调,188.3,188,,旺季
2025/4/20,58到家,邕宁,世茂茂御府,日常保洁,金牌,3小时,67.7,203,,旺季
2025/5/27,58到家,西乡塘,大唐天城,开荒保洁,熟练,100㎡,4.9,490,,平日
2025/10/24,天鹅到家,江南,金湾花城,日常保洁,熟练,4小时,52.7,211,,旺季
2025/1/30,天鹅到家,青秀,华润幸福里,日常保洁,新手,3小时,61.9,186,,旺季
2025/10/19,美团家政,江南,龙光普罗旺斯,深度清洁,熟练,4小时,73.8,295,,旺季
2025/5/14,美团家政,西乡塘,瀚林华府,日常保洁,熟练,5小时,44.6,223,,平日
2026/4/21,美团家政,青秀,中房翡翠园,家电清洗-挂机空调,金牌,1台-挂机空调,211.4,211,171,旺季
2025/2/5,美团家政,良庆,龙光玖珑湖,深度清洁,熟练,3小时,85.3,256,,旺季
2025/12/1,天鹅到家,青秀,香格里拉花园,深度清洁,金牌,3小时,112.7,338,260,旺季
2025/2/24,天鹅到家,江南,汇东星城,日常保洁,新手,3小时,44.9,135,,旺季
2025/5/16,天鹅到家,江南,龙光普罗旺斯,日常保洁,熟练,3小时,43.9,132,,平日
2025/3/8,天鹅到家,武鸣,恒泰丽园,开荒保洁,熟练,130㎡,8.6,1118,1018,旺季
2025/12/20,美团家政,江南,金湾花城,深度清洁,新手,3小时,60.6,182,,旺季
2026/4/23,美团家政,邕宁,龙光玖珑湾,开荒保洁,熟练,120㎡,7.4,888,,旺季
2025/7/28,天鹅到家,兴宁,保利山渐青,家电清洗-洗衣机,金牌,2台-洗衣机,161.3,323,,旺季
2025/6/20,58到家,兴宁,保利山渐青,日常保洁,熟练,3小时,41.5,124,103,平日
2025/4/13,58到家,良庆,万科魅力之城,日常保洁,熟练,4小时,56.8,227,,旺季
2026/5/11,58到家,良庆,碧水天和,日常保洁,金牌,4小时,51.1,204,183,平日
2025/5/14,美团家政,西乡塘,正恒国际广场,日常保洁,熟练,3小时,45,135,,平日
2025/11/7,天鹅到家,青秀,维也纳森林,深度清洁,新手,5小时,65.8,329,,平日
2026/2/17,天鹅到家,西乡塘,龙光水悦龙湾,日常保洁,新手,5小时,48.2,241,,旺季
2025/12/6,美团家政,西乡塘,正恒国际广场,深度清洁,熟练,3小时,76,228,176,旺季
2025/8/4,天鹅到家,武鸣,恒泰丽园,深度清洁,新手,4小时,81.8,327,,旺季
2025/4/18,58到家,兴宁,联发尚筑,开荒保洁,熟练,150㎡,6.4,960,,旺季
2026/2/11,天鹅到家,青秀,保利21世家,日常保洁,熟练,4小时,59.8,239,,旺季
2026/1/20,美团家政,西乡塘,龙光水悦龙湾,开荒保洁,新手,60㎡,5.5,330,,旺季
2026/3/12,美团家政,江南,昌泰鑫金绿洲,日常保洁,熟练,4小时,54.4,218,189,旺季
2026/4/3,美团家政,兴宁,保利山渐青,日常保洁,金牌,4小时,61.7,247,,旺季
2026/4/15,美团家政,江南,保利城,开荒保洁,金牌,120㎡,8.2,984,,旺季
2025/11/10,天鹅到家,邕宁,万丰新新传说,家电清洗-洗衣机,熟练,2台-洗衣机,132.4,265,,平日
2026/3/7,天鹅到家,良庆,碧水天和,深度清洁,新手,4小时,75.9,304,242,旺季
2025/6/13,天鹅到家,青秀,华润幸福里,日常保洁,熟练,5小时,51.4,257,,平日
2025/6/19,天鹅到家,江南,龙光普罗旺斯,日常保洁,熟练,4小时,48.1,192,173,平日
2025/10/22,58到家,江南,金湾花城,日常保洁,熟练,4小时,46.4,186,,旺季
2026/2/14,天鹅到家,邕宁,大唐盛世,日常保洁,熟练,3小时,57.5,172,,旺季
2026/2/13,58到家,西乡塘,联发西棠,家电清洗-热水器,金牌,1台-热水器,167.6,168,,旺季
2025/12/6,美团家政,青秀,龙光君御华府,日常保洁,熟练,3小时,56.8,170,,旺季
2025/8/21,58到家,良庆,阳光新城,日常保洁,金牌,4小时,55.8,223,168,旺季
2025/10/4,美团家政,武鸣,金茂新城,日常保洁,新手,5小时,50.5,252,200,旺季
2026/3/6,美团家政,西乡塘,龙光水悦龙湾,日常保洁,熟练,4小时,57.5,230,,旺季
2025/5/12,58到家,青秀,中房翡翠园,家电清洗-洗衣机,熟练,2台-洗衣机,121.5,243,195,平日
2025/12/13,58到家,良庆,华润二十四城,日常保洁,熟练,5小时,51.8,259,,旺季
2025/6/4,天鹅到家,西乡塘,骋望麓涛,开荒保洁,熟练,60㎡,5.4,324,,平日
2025/7/9,美团家政,江南,金湾花城,日常保洁,熟练,4小时,46.5,186,,旺季
2025/11/22,58到家,西乡塘,荣和摩客社区,日常保洁,熟练,5小时,41,205,,平日
2025/10/3,58到家,江南,昌泰鑫金绿洲,日常保洁,金牌,3小时,50.8,152,,旺季
2026/1/20,58到家,江南,风格雨林,日常保洁,熟练,3小时,54.9,165,146,旺季
2025/6/24,58到家,邕宁,南宁宝能城市广场,深度清洁,熟练,3小时,67.3,202,,平日
2025/9/8,天鹅到家,兴宁,中海国际社区,深度清洁,熟练,3小时,66.8,200,174,平日
2025/6/6,天鹅到家,西乡塘,联发西棠,深度清洁,新手,5小时,57.9,290,,平日
2025/8/21,58到家,良庆,万科魅力之城,日常保洁,新手,3小时,45.5,136,,旺季
2025/12/20,美团家政,青秀,蓝山上城,深度清洁,熟练,4小时,89.1,356,,旺季
2026/3/3,美团家政,良庆,合景天汇广场,日常保洁,新手,4小时,51,204,155,旺季
2025/5/30,天鹅到家,武鸣,九个半岛,日常保洁,新手,3小时,50.2,151,,平日
2025/4/5,美团家政,良庆,港保苑,日常保洁,新手,4小时,50.7,203,,旺季
2025/1/28,美团家政,青秀,中房翡翠园,家电清洗-洗衣机,新手,1台-洗衣机,139.4,139,,旺季
2025/11/2,天鹅到家,青秀,万正鸣翠谷,日常保洁,金牌,3小时,61.7,185,,平日
2025/6/6,天鹅到家,西乡塘,昌泰清华园,家电清洗-洗衣机,新手,1台-洗衣机,91.3,91,72,平日
2025/10/10,美团家政,青秀,龙光君御华府,深度清洁,熟练,3小时,80.4,241,192,旺季
2026/3/17,58到家,青秀,盛天茗城,家电清洗-柜机空调,熟练,1台-柜机空调,156.9,157,,旺季
2025/11/28,美团家政,邕宁,世茂茂御府,日常保洁,新手,3小时,42.8,128,,平日
2026/4/17,58到家,江南,保利城,开荒保洁,熟练,100㎡,6.3,630,,旺季
2025/2/11,天鹅到家,青秀,龙光君御华府,开荒保洁,熟练,60㎡,7,420,,旺季
2026/3/5,天鹅到家,西乡塘,大嘉汇尚悦,家电清洗-油烟机,熟练,1台-油烟机,155.2,155,130,旺季
2025/8/15,58到家,青秀,中房翡翠园,深度清洁,金牌,3小时,94.3,283,,旺季
2025/6/14,天鹅到家,青秀,华润幸福里,日常保洁,熟练,3小时,53.8,161,,平日
2026/1/25,天鹅到家,青秀,保利21世家,日常保洁,新手,4小时,64.8,259,,旺季
2025/1/1,天鹅到家,邕宁,大唐盛世,深度清洁,新手,3小时,86.6,260,,旺季
2025/8/15,美团家政,青秀,万正鸣翠谷,日常保洁,新手,5小时,48.6,243,208,旺季
2026/2/14,美团家政,西乡塘,正恒国际广场,深度清洁,熟练,3小时,74.6,224,,旺季
2025/2/28,58到家,武鸣,恒泰丽园,深度清洁,熟练,4小时,93.6,374,,旺季
2025/9/5,58到家,青秀,万正鸣翠谷,日常保洁,新手,4小时,42.3,169,,平日
2026/3/19,美团家政,良庆,阳光新城,日常保洁,熟练,3小时,62.4,187,150,旺季
2025/10/28,天鹅到家,武鸣,九个半岛,家电清洗-冰箱,熟练,2台-冰箱,163.6,327,,旺季
2025/7/13,58到家,武鸣,标营新区,家电清洗-冰箱,新手,1台-冰箱,121,121,,旺季
2025/6/12,天鹅到家,江南,风格雨林,日常保洁,熟练,5小时,48.2,241,,平日
2025/1/19,美团家政,江南,昌泰鑫金绿洲,日常保洁,新手,4小时,49.9,200,,旺季
2025/1/8,天鹅到家,青秀,香格里拉花园,开荒保洁,新手,150㎡,7,1050,899,旺季
2025/7/23,天鹅到家,青秀,万达公馆,家电清洗-冰箱,金牌,2台-冰箱,197.3,395,,旺季
2025/9/7,天鹅到家,青秀,保利21世家,日常保洁,熟练,3小时,55.5,166,,平日
2025/8/11,美团家政,兴宁,瀚林山水源,深度清洁,熟练,3小时,70,210,,旺季
2025/5/31,58到家,良庆,龙光玖珑湖,日常保洁,熟练,5小时,47.6,238,182,平日
2026/3/22,58到家,西乡塘,龙光水悦龙湾,深度清洁,熟练,3小时,79.4,238,189,旺季
