日期,节日名称,类型,旺季等级,预估需求增幅,适用服务,数据来源
2025-01-01,元旦,法定节假日,普通旺季,+50%,全品类,国务院办公厅+广西壮族自治区政府
2025-01-28,除夕,法定节假日,超级旺季,+200%,全品类,国务院办公厅+广西壮族自治区政府
2025-01-29,春节,法定节假日,超级旺季,+200%,全品类,国务院办公厅+广西壮族自治区政府
2025-04-04,清明节,法定节假日,普通旺季,+80%,全品类,国务院办公厅+广西壮族自治区政府
2025-04-11,广西三月三,地方节假日,超级旺季,+150%,全品类,国务院办公厅+广西壮族自治区政府
2025-05-01,劳动节,法定节假日,普通旺季,+50%,全品类,国务院办公厅+广西壮族自治区政府
2025-05-31,端午节,法定节假日,普通旺季,+50%,全品类,国务院办公厅+广西壮族自治区政府
2025-09-13,中元节,地方节假日,普通旺季,+30%,全品类,国务院办公厅+广西壮族自治区政府
2025-10-01,国庆节,法定节假日,超级旺季,+100%,全品类,国务院办公厅+广西壮族自治区政府
2025-10-29,重阳节,地方节假日,普通旺季,+30%,全品类,国务院办公厅+广西壮族自治区政府
2026-01-01,元旦,法定节假日,普通旺季,+50%,全品类,国务院办公厅+广西壮族自治区政府
2026-02-16,除夕,法定节假日,超级旺季,+300%,全品类,国务院办公厅+广西壮族自治区政府
2026-02-17,春节,法定节假日,超级旺季,+300%,全品类,国务院办公厅+广西壮族自治区政府
2026-04-04,清明节,法定节假日,超级旺季,+150%,全品类,国务院办公厅+广西壮族自治区政府
2026-04-21,广西三月三,地方节假日,超级旺季,+150%,全品类,国务院办公厅+广西壮族自治区政府
2026-05-01,劳动节,法定节假日,普通旺季,+50%,全品类,国务院办公厅+广西壮族自治区政府
2026-06-19,端午节,法定节假日,普通旺季,+50%,全品类,国务院办公厅+广西壮族自治区政府
