订单ID,下单时间,城区,小区,服务类型,服务等级,服务时长,订单金额,客户评分,订单来源
NN20250101000001,2025-01-01 19:17,青秀,华润幸福里,开荒保洁,熟练,7.5,987,4.1,58到家
NN20250101000002,2025-01-01 16:12,西乡塘,大唐天城,深度清洁,熟练,5.0,412,4.5,APP
NN20250114000003,2025-01-14 13:17,青秀,山水方园,日常保洁,新手,3.0,171,3.9,小程序
NN20250130000004,2025-01-30 14:05,江南,昌泰鑫金绿洲,家电清洗,熟练,2.0,140,3.7,小程序
NN20250103000005,2025-01-03 11:55,青秀,莱茵湖畔,深度清洁,金牌,4.5,465,4.1,小程序
NN20250121000006,2025-01-21 10:34,西乡塘,人和莱茵鹭湖,深度清洁,新手,6.0,399,3.9,美团
NN20250125000007,2025-01-25 11:52,青秀,万达公馆,深度清洁,新手,5.5,257,2.0,小程序
NN20250121000008,2025-01-21 15:09,良庆,万科魅力之城,开荒保洁,熟练,7.0,926,4.0,小程序
NN20250105000009,2025-01-05 09:48,青秀,保利21世家,日常保洁,新手,4.5,248,3.7,58到家
NN20250118000010,2025-01-18 08:43,西乡塘,大唐天城,开荒保洁,熟练,5.5,649,4.1,美团
NN20250124000011,2025-01-24 19:16,武鸣,恒泰丽园,深度清洁,新手,5.0,424,3.8,小程序
NN20250131000012,2025-01-31 16:58,青秀,万达公馆,深度清洁,新手,4.0,318,4.2,APP
NN20250108000013,2025-01-08 17:05,青秀,凤岭春天,开荒保洁,金牌,7.5,1456,4.4,小程序
NN20250120000014,2025-01-20 14:13,武鸣,标营新区,开荒保洁,熟练,6.5,970,4.4,APP
NN20250108000015,2025-01-08 11:04,良庆,南宁恒大名都,深度清洁,熟练,4.0,355,4.4,美团
NN20250117000016,2025-01-17 11:17,西乡塘,龙光水悦龙湾,深度清洁,熟练,7.5,594,4.1,美团
NN20250114000017,2025-01-14 11:06,青秀,龙光君御华府,日常保洁,熟练,5.5,320,4.8,小程序
NN20250126000018,2025-01-26 11:12,青秀,凤岭春天,日常保洁,新手,4.0,229,4.2,美团
NN20250128000019,2025-01-28 16:06,青秀,万正鸣翠谷,家电清洗,金牌,5.0,684,4.1,美团
NN20250102000020,2025-01-02 10:24,青秀,龙光君御华府,日常保洁,熟练,4.5,131,3.5,电话
